Element_ID,X_mm,Y_mm
U00,-46.490273,14.214969
U01,22.640889,39.344157
U02,-5.856446,12.213276
U03,22.910188,14.030347
U04,-20.205107,-32.353091
U05,19.182450,-7.092943
U06,-33.612390,28.274372
U07,-27.245888,-0.508657
U08,26.057230,-24.646960
U09,5.217893,41.931601
U10,35.202321,-43.935890
U11,2.199133,-41.471181
