case,distance_m,theta_x_deg,theta_y_deg,element_id,x_mm,y_mm,amplitude,phase_offset_deg
R0.5_x15_y0,0.5,15.0,0.0,U01,14.280,10.958,0.494222,81.271
R0.5_x15_y0,0.5,15.0,0.0,U02,-10.958,14.280,0.396573,-20.032
R0.5_x15_y0,0.5,15.0,0.0,U03,-14.280,-10.958,0.779396,43.063
R0.5_x15_y0,0.5,15.0,0.0,U04,10.958,-14.280,0.742629,7.688
R0.5_x15_y0,0.5,15.0,0.0,U05,35.097,8.011,0.941541,32.191
R0.5_x15_y0,0.5,15.0,0.0,U06,15.620,32.435,0.941071,31.274
R0.5_x15_y0,0.5,15.0,0.0,U07,-15.620,32.435,0.996662,-3.612
R0.5_x15_y0,0.5,15.0,0.0,U08,-35.097,8.011,0.851081,26.418
R0.5_x15_y0,0.5,15.0,0.0,U09,-28.146,-22.446,0.953948,11.288
R0.5_x15_y0,0.5,15.0,0.0,U10,-0.000,-36.000,0.508358,22.962
R0.5_x15_y0,0.5,15.0,0.0,U11,28.146,-22.446,0.960368,21.861
R0.5_x-15_y0,0.5,-15.0,0.0,U00,0.000,0.000,0.242171,-86.819
R0.5_x-15_y0,0.5,-15.0,0.0,U01,14.280,10.958,0.424204,-116.421
R0.5_x-15_y0,0.5,-15.0,0.0,U02,-10.958,14.280,0.312449,-12.082
R0.5_x-15_y0,0.5,-15.0,0.0,U03,-14.280,-10.958,0.589175,-110.577
R0.5_x-15_y0,0.5,-15.0,0.0,U04,10.958,-14.280,0.891159,-74.240
R0.5_x-15_y0,0.5,-15.0,0.0,U05,35.097,8.011,0.835006,-86.053
R0.5_x-15_y0,0.5,-15.0,0.0,U06,15.620,32.435,0.897294,-92.476
R0.5_x-15_y0,0.5,-15.0,0.0,U07,-15.620,32.435,0.903094,-64.023
R0.5_x-15_y0,0.5,-15.0,0.0,U08,-35.097,8.011,0.842202,-78.160
R0.5_x-15_y0,0.5,-15.0,0.0,U09,-28.146,-22.446,1.000000,-61.575
R0.5_x-15_y0,0.5,-15.0,0.0,U10,-0.000,-36.000,0.495648,-88.512
R0.5_x-15_y0,0.5,-15.0,0.0,U11,28.146,-22.446,0.917941,-75.848
R0.5_x0_y15,0.5,0.0,15.0,U00,0.000,0.000,0.192501,-18.382
R0.5_x0_y15,0.5,0.0,15.0,U01,14.280,10.958,0.609583,-12.835
R0.5_x0_y15,0.5,0.0,15.0,U02,-10.958,14.280,0.603865,-64.095
R0.5_x0_y15,0.5,0.0,15.0,U03,-14.280,-10.958,0.629207,-42.415
R0.5_x0_y15,0.5,0.0,15.0,U04,10.958,-14.280,0.233621,-78.341
R0.5_x0_y15,0.5,0.0,15.0,U05,35.097,8.011,0.743664,-52.588
R0.5_x0_y15,0.5,0.0,15.0,U06,15.620,32.435,0.915510,-53.688
R0.5_x0_y15,0.5,0.0,15.0,U07,-15.620,32.435,0.975341,-52.972
R0.5_x0_y15,0.5,0.0,15.0,U08,-35.097,8.011,0.604341,-51.331
R0.5_x0_y15,0.5,0.0,15.0,U09,-28.146,-22.446,0.811866,-73.072
R0.5_x0_y15,0.5,0.0,15.0,U10,-0.000,-36.000,0.802317,-55.966
R0.5_x0_y15,0.5,0.0,15.0,U11,28.146,-22.446,1.000000,-81.595
R0.8_x0_y0,0.8,0.0,0.0,U00,0.000,0.000,0.373578,-145.206
R0.8_x0_y0,0.8,0.0,0.0,U01,14.280,10.958,0.167862,57.513
R0.8_x0_y0,0.8,0.0,0.0,U02,-10.958,14.280,0.147306,57.259
R0.8_x0_y0,0.8,0.0,0.0,U03,-14.280,-10.958,0.131415,57.093
R0.8_x0_y0,0.8,0.0,0.0,U04,10.958,-14.280,0.152748,57.212
R0.8_x0_y0,0.8,0.0,0.0,U05,35.097,8.011,0.872640,63.497
R0.8_x0_y0,0.8,0.0,0.0,U06,15.620,32.435,0.875699,63.507
R0.8_x0_y0,0.8,0.0,0.0,U07,-15.620,32.435,0.877306,63.382
R0.8_x0_y0,0.8,0.0,0.0,U08,-35.097,8.011,0.877984,63.484
R0.8_x0_y0,0.8,0.0,0.0,U09,-28.146,-22.446,0.880491,63.384
R0.8_x0_y0,0.8,0.0,0.0,U10,-0.000,-36.000,0.874621,63.481
R0.8_x0_y0,0.8,0.0,0.0,U11,28.146,-22.446,0.873713,63.414
R0.8_x15_y0,0.8,15.0,0.0,U00,0.000,0.000,0.226266,91.068
R0.8_x15_y0,0.8,15.0,0.0,U01,14.280,10.958,0.502810,121.085
R0.8_x15_y0,0.8,15.0,0.0,U02,-10.958,14.280,0.387354,15.195
R0.8_x15_y0,0.8,15.0,0.0,U03,-14.280,-10.958,0.767063,86.727
R0.8_x15_y0,0.8,15.0,0.0,U04,10.958,-14.280,0.796333,50.498
R0.8_x15_y0,0.8,15.0,0.0,U05,35.097,8.011,0.927245,73.667
R0.8_x15_y0,0.8,15.0,0.0,U06,15.620,32.435,0.950067,74.666
R0.8_x15_y0,0.8,15.0,0.0,U07,-15.620,32.435,1.000000,38.962
R0.8_x15_y0,0.8,15.0,0.0,U08,-35.097,8.011,0.857722,66.971
R0.8_x15_y0,0.8,15.0,0.0,U09,-28.146,-22.446,0.962059,51.843
R0.8_x15_y0,0.8,15.0,0.0,U10,-0.000,-36.000,0.499072,66.587
R0.8_x15_y0,0.8,15.0,0.0,U11,28.146,-22.446,0.954043,62.202
R0.8_x-15_y0,0.8,-15.0,0.0,U00,0.000,0.000,0.248421,-44.603
R0.8_x-15_y0,0.8,-15.0,0.0,U01,14.280,10.958,0.454571,-77.643
R0.8_x-15_y0,0.8,-15.0,0.0,U02,-10.958,14.280,0.344777,31.043
R0.8_x-15_y0,0.8,-15.0,0.0,U03,-14.280,-10.958,0.655967,-62.071
R0.8_x-15_y0,0.8,-15.0,0.0,U04,10.958,-14.280,0.891557,-25.747
R0.8_x-15_y0,0.8,-15.0,0.0,U05,35.097,8.011,0.869832,-41.368
R0.8_x-15_y0,0.8,-15.0,0.0,U06,15.620,32.435,0.930353,-46.756
R0.8_x-15_y0,0.8,-15.0,0.0,U07,-15.620,32.435,0.944813,-15.086
