rank,name,score,min_spacing_mm,center_radius_mm,width_centers_mm,height_centers_mm,recommended_unit_width_mm,worst_max_sidelobe_db,worst_p99_sidelobe_db
88,blue_noise_081,-7.172231,18.648567,50.554379,78.192040,93.910169,113.910169,-3.958439,-9.182262
89,blue_noise_148,-7.167558,17.221785,57.486787,73.080407,86.254414,106.254414,-3.881880,-9.387652
90,blue_noise_050,-7.166351,18.452381,42.888772,80.101500,66.936240,100.101500,-4.001831,-9.041486
91,blue_noise_119,-7.148327,18.207622,49.447104,88.292579,85.671252,108.292579,-3.888458,-9.313912
92,blue_noise_002,-7.111616,18.779300,49.171068,80.831617,77.138003,100.831617,-3.820294,-9.403778
93,blue_noise_123,-7.086561,17.238265,50.687535,78.063560,95.833624,115.833624,-3.806009,-9.373004
94,blue_noise_001,-7.076260,17.489509,44.766877,83.171819,74.747875,103.171819,-3.858308,-9.194148
95,blue_noise_127,-7.074291,18.111838,51.637512,87.088011,80.038907,107.088011,-3.761237,-9.465869
96,blue_noise_096,-7.068031,18.139056,49.526752,89.902312,86.239838,109.902312,-3.740923,-9.506024
97,blue_noise_144,-7.066465,17.455941,47.841507,84.055854,72.942111,104.055854,-3.832252,-9.240611
98,blue_noise_045,-7.065950,18.794963,48.835474,89.208094,81.762736,109.208094,-3.795444,-9.344302
99,blue_noise_117,-7.051570,18.059285,48.166749,89.537506,85.036358,109.537506,-3.739960,-9.461744
100,blue_noise_151,-7.050023,17.672448,49.771271,86.842055,84.067688,106.842055,-3.797120,-9.294010
101,blue_noise_064,-7.041341,21.974411,50.130819,77.490175,82.535421,102.535421,-3.795153,-9.274824
102,blue_noise_012,-7.041197,17.781220,51.685896,88.536508,73.955668,108.536508,-3.731691,-9.455732
103,blue_noise_138,-7.040690,17.584314,53.325190,79.656406,81.239913,101.239913,-3.872813,-9.051075
104,blue_noise_046,-7.039492,18.005996,46.539022,82.449077,75.773513,102.449077,-3.865933,-9.067312
105,blue_noise_100,-7.036047,17.968643,51.210148,96.373488,77.268457,116.373488,-3.717613,-9.481240
106,blue_noise_056,-7.034920,17.989649,52.030906,75.286049,95.823789,115.823789,-3.756257,-9.367609
107,blue_noise_115,-7.033910,17.923023,48.001244,75.617315,88.609021,108.609021,-3.733883,-9.428649
108,blue_noise_066,-7.028714,19.607696,50.853836,83.199377,80.627663,103.199377,-3.718965,-9.456426
109,blue_noise_043,-7.028208,17.382784,49.245525,83.518226,84.379407,104.379407,-3.676575,-9.576094
110,blue_noise_035,-7.014831,17.240563,46.956567,81.131951,86.981652,106.981652,-3.777252,-9.250226
111,blue_noise_095,-6.995042,17.596432,50.926876,69.027466,88.638920,108.638920,-3.734825,-9.314906
112,blue_noise_128,-6.984702,18.937128,45.162708,65.496525,89.491662,109.491662,-3.752694,-9.234310
113,blue_noise_111,-6.965929,18.208566,49.044345,91.437318,87.865586,111.437318,-3.683385,-9.378697
114,blue_noise_173,-6.964179,17.771310,51.218654,80.655589,91.581112,111.581112,-3.745068,-9.197461
115,blue_noise_047,-6.963882,17.286355,51.701267,75.286809,90.174236,110.174236,-3.766324,-9.135880
116,blue_noise_015,-6.961959,17.251115,50.716513,95.239827,80.302682,115.239827,-3.708599,-9.295317
117,blue_noise_146,-6.954572,18.489465,50.986192,92.798350,94.898755,114.898755,-3.706437,-9.280386
118,blue_noise_003,-6.940887,18.014017,46.932844,81.155782,87.001693,107.001693,-3.566494,-9.641123
119,blue_noise_068,-6.916796,17.611558,50.596997,82.604990,72.327421,102.604990,-3.634585,-9.377744
120,blue_noise_061,-6.913936,18.453732,48.622769,88.200970,92.466358,112.466358,-3.618694,-9.414976
121,blue_noise_021,-6.906107,18.158844,47.604220,88.798887,89.631989,109.631989,-3.637027,-9.340226
122,blue_noise_184,-6.895632,17.954216,43.618671,86.149228,73.726344,106.149228,-3.620494,-9.357538
123,blue_noise_044,-6.886255,17.657033,47.120910,86.886936,70.747424,106.886936,-3.683240,-9.151472
124,blue_noise_030,-6.844792,17.230290,47.343125,79.199038,81.646268,101.646268,-3.664385,-9.086880
125,blue_noise_079,-6.841117,19.260391,51.404491,90.938401,72.329337,110.938401,-3.609363,-9.233583
126,blue_noise_082,-6.835486,17.371755,51.103211,78.296393,94.312711,114.312711,-3.613312,-9.206210
127,blue_noise_190,-6.820525,17.958764,49.896202,87.639983,66.013150,107.639983,-3.538468,-9.377306
128,blue_noise_121,-6.812330,18.099798,48.037878,81.776950,92.922143,112.922143,-3.584553,-9.222219
129,blue_noise_006,-6.810671,17.496883,48.968044,87.143304,91.620172,111.620172,-3.665744,-8.985505
130,blue_noise_145,-6.781694,18.132915,52.542843,79.690977,88.334637,108.334637,-3.360161,-9.775806
