case,target_theta_deg,peak_theta_deg,peak_phi_deg,pointing_error_deg,max_outside_8deg_db,cut_3db_width_deg,cut_max_outside_8deg_db,hemisphere_directivity_db,xy_peak_x_mm,xy_peak_y_mm,xy_target_error_mm,xy_fwhm_x_mm,xy_fwhm_y_mm,xz_peak_x_mm,xz_peak_z_mm,xz_target_error_mm
broadside,0.0,0.0,0.0,0.0,-13.52338848906655,3.930670798564119,-21.844215528993757,27.248095303135646,0.0,0.0,0.0,15.014821345046656,15.017273405957685,0.0,66.0,134.0
steer_20deg,20.0,19.5,0.0,0.49999999999986244,-4.694292566008628,4.132420716402816,-6.443186155835333,22.520405625912222,-9.0,0.0,81.79404685324046,19.956576356729908,10.356257303343959,-15.0,60.0,165.25070245801976
focus_200mm,0.0,0.0,0.0,0.0,-5.825521636473781,3.7850390522940636,-5.836402672457275,20.794445266642615,0.0,0.0,0.0,14.93807520664012,14.938265526519608,0.0,183.0,17.0
offset_focus_40mm_200mm,11.309932474020213,12.25,180.0,23.559932474020226,8.686661818707667e-12,4.0849939273453995,8.686661818707667e-12,18.79826306820722,39.0,0.0,1.0,15.686330518312527,15.150302039945567,36.0,180.0,20.396078054371138
