case,distance_mm,theta_x_deg,theta_y_deg,element_id,x_mm,y_mm,rho_mm,amplitude,phase_deg
R150_x-15,150,-15.0,0.0,E10,6.420,36.440,37.001,0.463556,286.481
R150_x-15,150,-15.0,0.0,E11,-18.500,32.040,36.997,0.837568,192.096
R150_x-15,150,-15.0,0.0,E12,-34.770,12.650,37.000,1.000000,11.692
R150_x-15,150,-15.0,0.0,E13,-34.770,-12.650,37.000,1.000000,11.692
R150_x-15,150,-15.0,0.0,E14,-18.500,-32.040,36.997,0.837568,192.096
R150_x-15,150,-15.0,0.0,E15,6.420,-36.440,37.001,0.463556,286.481
R150_x-15,150,-15.0,0.0,E16,28.340,-23.780,36.995,0.298035,61.531
R150_x-15,150,-15.0,0.0,E17,58.000,0.000,58.000,0.091390,244.019
R150_x-15,150,-15.0,0.0,E18,52.990,23.590,58.004,0.108613,290.977
R150_x-15,150,-15.0,0.0,E19,38.810,43.100,57.999,0.140744,65.783
R150_x-15,150,-15.0,0.0,E20,17.920,55.160,57.998,0.209360,269.050
R150_x-15,150,-15.0,0.0,E21,-6.060,57.680,57.997,0.327483,149.989
R150_x-15,150,-15.0,0.0,E22,-29.000,50.230,58.000,0.524059,28.841
R150_x-15,150,-15.0,0.0,E23,-46.920,34.090,57.997,0.780068,221.863
R150_x-15,150,-15.0,0.0,E24,-56.730,12.060,57.998,0.985879,330.043
R150_x-15,150,-15.0,0.0,E25,-56.730,-12.060,57.998,0.985879,330.043
R150_x-15,150,-15.0,0.0,E26,-46.920,-34.090,57.997,0.780068,221.863
R150_x-15,150,-15.0,0.0,E27,-29.000,-50.230,58.000,0.524059,28.841
R150_x-15,150,-15.0,0.0,E28,-6.060,-57.680,57.997,0.327483,149.989
R150_x-15,150,-15.0,0.0,E29,17.920,-55.160,57.998,0.209360,269.050
R150_x-15,150,-15.0,0.0,E30,38.810,-43.100,57.999,0.140744,65.783
R150_x-15,150,-15.0,0.0,E31,52.990,-23.590,58.004,0.108613,290.977
R150_x15,150,15.0,0.0,E00,0.000,0.000,0.000,0.918679,182.624
R150_x15,150,15.0,0.0,E01,19.500,0.000,19.500,1.000000,343.347
R150_x15,150,15.0,0.0,E02,12.160,15.250,19.505,1.000000,262.016
R150_x15,150,15.0,0.0,E03,-4.340,19.010,19.499,0.695859,83.045
R150_x15,150,15.0,0.0,E04,-17.570,8.460,19.501,0.511164,303.051
R150_x15,150,15.0,0.0,E05,-17.570,-8.460,19.501,0.511164,303.051
R150_x15,150,15.0,0.0,E06,-4.340,-19.010,19.499,0.695859,83.045
R150_x15,150,15.0,0.0,E07,12.160,-15.250,19.505,1.000000,262.016
R150_x15,150,15.0,0.0,E08,37.000,0.000,37.000,1.000000,36.720
R150_x15,150,15.0,0.0,E09,28.340,23.780,36.995,1.000000,300.129
R150_x15,150,15.0,0.0,E10,6.420,36.440,37.001,0.619348,61.946
R150_x15,150,15.0,0.0,E11,-18.500,32.040,36.997,0.358047,161.580
R150_x15,150,15.0,0.0,E12,-34.770,12.650,37.000,0.259427,356.888
R150_x15,150,15.0,0.0,E13,-34.770,-12.650,37.000,0.259427,356.888
R150_x15,150,15.0,0.0,E14,-18.500,-32.040,36.997,0.358047,161.580
R150_x15,150,15.0,0.0,E15,6.420,-36.440,37.001,0.619348,61.946
R150_x15,150,15.0,0.0,E16,28.340,-23.780,36.995,1.000000,300.129
R150_x15,150,15.0,0.0,E17,58.000,0.000,58.000,1.000000,344.152
R150_x15,150,15.0,0.0,E18,52.990,23.590,58.004,0.881849,288.472
R150_x15,150,15.0,0.0,E19,38.810,43.100,57.999,0.641422,133.778
R150_x15,150,15.0,0.0,E20,17.920,55.160,57.998,0.421110,272.409
R150_x15,150,15.0,0.0,E21,-6.060,57.680,57.997,0.257068,27.151
R150_x15,150,15.0,0.0,E22,-29.000,50.230,58.000,0.168598,160.474
R150_x15,150,15.0,0.0,E23,-46.920,34.090,57.997,0.119704,348.442
R150_x15,150,15.0,0.0,E24,-56.730,12.060,57.998,0.095494,255.939
R150_x15,150,15.0,0.0,E25,-56.730,-12.060,57.998,0.095494,255.939
R150_x15,150,15.0,0.0,E26,-46.920,-34.090,57.997,0.119704,348.442
R150_x15,150,15.0,0.0,E27,-29.000,-50.230,58.000,0.168598,160.474
R150_x15,150,15.0,0.0,E28,-6.060,-57.680,57.997,0.257068,27.151
R150_x15,150,15.0,0.0,E29,17.920,-55.160,57.998,0.421110,272.409
R150_x15,150,15.0,0.0,E30,38.810,-43.100,57.999,0.641422,133.778
R150_x15,150,15.0,0.0,E31,52.990,-23.590,58.004,0.881849,288.472
R200_x-15,200,-15.0,0.0,E00,0.000,0.000,0.000,0.823356,243.499
R200_x-15,200,-15.0,0.0,E01,19.500,0.000,19.500,0.528716,355.371
R200_x-15,200,-15.0,0.0,E02,12.160,15.250,19.505,0.584660,73.169
R200_x-15,200,-15.0,0.0,E03,-4.340,19.010,19.499,0.829680,250.754
R200_x-15,200,-15.0,0.0,E04,-17.570,8.460,19.501,1.000000,35.882
R200_x-15,200,-15.0,0.0,E05,-17.570,-8.460,19.501,1.000000,35.882
R200_x-15,200,-15.0,0.0,E06,-4.340,-19.010,19.499,0.829680,250.754
R200_x-15,200,-15.0,0.0,E07,12.160,-15.250,19.505,0.584660,73.169
R200_x-15,200,-15.0,0.0,E08,37.000,0.000,37.000,0.317287,74.444
R200_x-15,200,-15.0,0.0,E09,28.340,23.780,36.995,0.369714,163.443
R200_x-15,200,-15.0,0.0,E10,6.420,36.440,37.001,0.526662,32.691
R200_x-15,200,-15.0,0.0,E11,-18.500,32.040,36.997,0.848920,301.049
R200_x-15,200,-15.0,0.0,E12,-34.770,12.650,37.000,1.000000,120.981
R200_x-15,200,-15.0,0.0,E13,-34.770,-12.650,37.000,1.000000,120.981
